FAM	D	T	L
fix_1814_c60_lg_combined.ale.uml_rec	1e-06	0.372677	0.496534
fix_3861_c60_lg_combined.ale.uml_rec	0.753623	1e-06	0.74969
fix_377_c60_lg_combined.ale.uml_rec	0.864905	0.000392565	0.000212523
fix_249_c60_lg_combined.ale.uml_rec	0.00185115	0.241014	0.344846
fix_227_c60_lg_combined.ale.uml_rec	1e-06	0.369689	0.353265
fix_3931_c60_lg_combined.ale.uml_rec	1.06512	1e-06	0.334533
fix_1944_c60_lg_combined.ale.uml_rec	1e-06	0.519251	0.60951
fix_3693_c60_lg_combined.ale.uml_rec	1e-06	1e-06	0.224215
fix_319_c60_lg_combined.ale.uml_rec	0.0786706	0.242592	0.334233
fix_121_c60_lg_combined.ale.uml_rec	0.156923	0.331428	0.367661
fix_2252_c60_lg_combined.ale.uml_rec	1.04479	3.69526e-05	0.19309
fix_3595_c60_lg_combined.ale.uml_rec	0.608776	0.195371	1e-06
fix_4865_c60_lg_combined.ale.uml_rec	1e-06	0.864314	0.936982
fix_2648_c60_lg_combined.ale.uml_rec	1e-06	0.296752	0.581496
fix_5000_c60_lg_combined.ale.uml_rec	1e-06	0.950694	0.905022
fix_2776_c60_lg_combined.ale.uml_rec	1e-06	0.403722	0.559016
fix_405_c60_lg_combined.ale.uml_rec	3.61155e-05	0.21313	0.150047
fix_5306_c60_lg_combined.ale.uml_rec	1.12332	1e-06	0.515811
fix_5238_c60_lg_combined.ale.uml_rec	0.165272	1e-06	1e-06
fix_2470_c60_lg_combined.ale.uml_rec	1e-06	0.335136	0.276823
fix_703_c60_lg_combined.ale.uml_rec	1e-06	0.320924	0.24049
fix_3289_c60_lg_combined.ale.uml_rec	1e-06	0.247649	0.497671
fix_1738_c60_lg_combined.ale.uml_rec	0.894111	0.212693	0.264258
fix_4105_c60_lg_combined.ale.uml_rec	0.28955	0.46401	1e-06
fix_3673_c60_lg_combined.ale.uml_rec	0.160836	6.63793e-05	0.246032
fix_1606_c60_lg_combined.ale.uml_rec	1e-06	0.308277	1e-06
fix_4203_c60_lg_combined.ale.uml_rec	1e-06	0.168139	1e-06
fix_3575_c60_lg_combined.ale.uml_rec	1e-06	0.251599	0.63758
fix_1500_c60_lg_combined.ale.uml_rec	0.59455	0.205057	0.505634
fix_1024_c60_lg_combined.ale.uml_rec	0.0812358	0.205305	0.477043
fix_2834_c60_lg_combined.ale.uml_rec	0.434217	0.174919	0.217976
fix_3051_c60_lg_combined.ale.uml_rec	0.931687	0.190778	0.420068
fix_4619_c60_lg_combined.ale.uml_rec	0.606981	1e-06	0.866451
fix_4727_c60_lg_combined.ale.uml_rec	0.000111874	0.455755	0.270689
fix_2796_c60_lg_combined.ale.uml_rec	1e-06	0.843498	0.813584
fix_1322_c60_lg_combined.ale.uml_rec	0.392648	0.0576243	1e-06
fix_841_c60_lg_combined.ale.uml_rec	1e-06	0.655721	0.562742
fix_3357_c60_lg_combined.ale.uml_rec	0.254544	0.394914	0.437051
fix_4421_c60_lg_combined.ale.uml_rec	1e-06	1e-06	0.373089
fix_3269_c60_lg_combined.ale.uml_rec	0.403444	6.45404e-06	0.34346
fix_2490_c60_lg_combined.ale.uml_rec	1e-06	0.0859549	1e-06
fix_1547_c60_lg_combined.ale.uml_rec	1e-06	0.619466	0.661737
fix_3532_c60_lg_combined.ale.uml_rec	0.892074	0.225999	0.49534
fix_186_c60_lg_combined.ale.uml_rec	0.0437522	0.0498549	0.150988
fix_4244_c60_lg_combined.ale.uml_rec	1e-06	0.200991	0.276857
